row,ruleCode,category,reason,condition1,condition2
3,SZ医保-0003-ff31c55b70,疾病主要诊断选择错误,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,主要疾病编码 P 起源于围生期的疾病,主要手术编码 72-75 产科手术
4,SZ医保-0004-3deabfc526,疾病主要诊断选择错误,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,主要疾病编码 Z08 恶性肿瘤患者手术治疗后,主要手术编码 00-99
5,SZ医保-0005-a6ff2297c5,疾病主要诊断选择错误,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,主要疾病编码 I25.2 陈旧性心肌梗死,主要手术编码 00-99
1281,SZ医保-1281-c9c8f21732,主要手术、操作选择错误,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,主要手术编码 37.2600x001 术中心脏电生理检查,其他手术编码 00-99
1282,SZ医保-1282-438aca86fc,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 H25,
1283,SZ医保-1283-575649880b,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I10,
1284,SZ医保-1284-ebdb36f5d3,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I11,
1285,SZ医保-1285-440387d2c7,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I12,
1286,SZ医保-1286-ce5b753fbb,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I13,
1287,SZ医保-1287-2eb4aeb839,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I15,
1288,SZ医保-1288-42de66fc62,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 J18,
1289,SZ医保-1289-f08ed8692c,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 J80,
1290,SZ医保-1290-4f44ccc4b8,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 G93.1,
1291,SZ医保-1291-d0cceb8e91,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I60,
1292,SZ医保-1292-f6f07bc01b,疾病编码年龄冲突,当前基础规则模型可保存该规则描述，但尚未实现多条件、排除码、年龄/性别等执行器。,全部疾病编码 I61,
